"HGNC symbol","Aliases","Common name","Description","Cytogenetic Location","OMIM","Ensembl","UniProt/Swiss-Prot","Entrez Gene","UniGene"
"MLH1","FCC2; COCA2; HNPCC; hMLH1; HNPCC2","mutL homolog 1","This gene was identified as a locus frequently mutated in hereditary nonpolyposis colon cancer (HNPCC). It is a human homolog of the E. coli DNA mismatch repair gene mutL, consistent with the characteristic alterations in microsatellite sequences (RER+phenotype) found in HNPCC. Alternative splicing results in multiple transcript variants encoding distinct isoforms. Additional transcript variants have been described, but their full-length natures have not been determined.[provided by RefSeq, Nov 2009]","3p22.2","120436","ENSG00000076242","A0A024R2S9_HUMAN","4292","195364"
"MLH3","HNPCC7","mutL homolog 3","This gene is a member of the MutL-homolog (MLH) family of DNA mismatch repair (MMR) genes. MLH genes are implicated in maintaining genomic integrity during DNA replication and after meiotic recombination. The protein encoded by this gene functions as a heterodimer with other family members. Somatic mutations in this gene frequently occur in tumors exhibiting microsatellite instability, and germline mutations have been linked to hereditary nonpolyposis colorectal cancer type 7 (HNPCC7). Several alternatively spliced transcript variants have been identified, but the full-length nature of only two transcript variants has been determined. [provided by RefSeq, Jul 2008]","14q24.3","604395","ENSG00000119684","MLH3_HUMAN","27030","436650"
"MLST8","GBL; LST8; POP3; WAT1; GbetaL","MTOR associated protein, LST8 homolog","","16p13.3","612190","ENSG00000167965","LST8_HUMAN","64223","29203"
"MMP1","CLG; CLGN","matrix metallopeptidase 1","This gene encodes a member of the peptidase M10 family of matrix metalloproteinases (MMPs). Proteins in this family are involved in the breakdown of extracellular matrix in normal physiological processes, such as embryonic development, reproduction, and tissue remodeling, as well as in disease processes, such as arthritis and metastasis. The encoded preproprotein is proteolytically processed to generate the mature protease. This secreted protease breaks down the interstitial collagens, including types I, II, and III. The gene is part of a cluster of MMP genes on chromosome 11. Mutations in this gene are associated with chronic obstructive pulmonary disease (COPD). Alternative splicing results in multiple transcript variants, at least one of which encodes an isoform that is proteolytically processed. [provided by RefSeq, Jan 2016]","11q22.2","120353","ENSG00000196611","B4DN15_HUMAN","4312","83169"
"MMP20","AI2A2; MMP-20","matrix metallopeptidase 20","Proteins of the matrix metalloproteinase (MMP) family are involved in the breakdown of extracellular matrix in normal physiological processes, such as embryonic development, reproduction, and tissue remodeling, as well as in disease processes, such as arthritis and metastasis. Most MMP's are secreted as inactive proproteins which are activated when cleaved by extracellular proteinases. The protein encoded by this gene degrades amelogenin, the major protein component of dental enamel matrix, and thus thought to play a role in tooth enamel formation. A mutation in this gene, which alters the normal splice pattern and results in premature termination of the encoded protein, has been associated with amelogenesis imperfecta. This gene is part of a cluster of MMP genes located on chromosome 11q22.3. [provided by RefSeq, Aug 2011]","11q22.2","604629","ENSG00000137674","MMP20_HUMAN","9313","591946"
"MMP3","SL-1; STMY; STR1; CHDS6; MMP-3; STMY1","matrix metallopeptidase 3","Proteins of the matrix metalloproteinase (MMP) family are involved in the breakdown of extracellular matrix in normal physiological processes, such as embryonic development, reproduction, and tissue remodeling, as well as in disease processes, such as arthritis and metastasis. Most MMP's are secreted as inactive proproteins which are activated when cleaved by extracellular proteinases. This gene encodes an enzyme which degrades fibronectin, laminin, collagens III, IV, IX, and X, and cartilage proteoglycans. The enzyme is thought to be involved in wound repair, progression of atherosclerosis, and tumor initiation. The gene is part of a cluster of MMP genes which localize to chromosome 11q22.3. [provided by RefSeq, Jul 2008]","11q22.2","185250","ENSG00000149968","MMP3_HUMAN","4314","375129"
"MOB3B","MOB1D; C9orf35; MOBKL2B","MOB kinase activator 3B","The protein encoded by this gene shares similarity with the yeast Mob1 protein. Yeast Mob1 binds Mps1p, a protein kinase essential for spindle pole body duplication and mitotic checkpoint regulation. This gene is located on the opposite strand as the interferon kappa precursor (IFNK) gene. [provided by RefSeq, Jul 2008]","9p21.2","","ENSG00000120162","MOB3B_HUMAN","79817","369022"
"MOG","BTN6; BTNL11; MOGIG2; NRCLP7","myelin oligodendrocyte glycoprotein","The product of this gene is a membrane protein expressed on the oligodendrocyte cell surface and the outermost surface of myelin sheaths. Due to this localization, it is a primary target antigen involved in immune-mediated demyelination. This protein may be involved in completion and maintenance of the myelin sheath and in cell-cell communication. Alternatively spliced transcript variants encoding different isoforms have been identified. [provided by RefSeq, Jul 2008]","6p22.1","159465","ENSG00000204655","MOG_HUMAN","4340","141308"
"MRE11","ATLD; HNGS1; MRE11A; MRE11B","MRE11 homolog, double strand break repair nuclease","This gene encodes a nuclear protein involved in homologous recombination, telomere length maintenance, and DNA double-strand break repair. By itself, the protein has 3' to 5' exonuclease activity and endonuclease activity. The protein forms a complex with the RAD50 homolog; this complex is required for nonhomologous joining of DNA ends and possesses increased single-stranded DNA endonuclease and 3' to 5' exonuclease activities. In conjunction with a DNA ligase, this protein promotes the joining of noncomplementary ends in vitro using short homologies near the ends of the DNA fragments. This gene has a pseudogene on chromosome 3. Alternative splicing of this gene results in two transcript variants encoding different isoforms. [provided by RefSeq, Jul 2008]","11q21","600814","ENSG00000020922","A0A024R395_HUMAN","4361","192649"
"MRPL37","L2mt; L37mt; MRPL2; RPML2; MRP-L2; MRP-L37","mitochondrial ribosomal protein L37","Mammalian mitochondrial ribosomal proteins are encoded by nuclear genes and help in protein synthesis within the mitochondrion. Mitochondrial ribosomes (mitoribosomes) consist of a small 28S subunit and a large 39S subunit. They have an estimated 75% protein to rRNA composition compared to prokaryotic ribosomes, where this ratio is reversed. Another difference between mammalian mitoribosomes and prokaryotic ribosomes is that the latter contain a 5S rRNA. Among different species, the proteins comprising the mitoribosome differ greatly in sequence, and sometimes in biochemical properties, which prevents easy recognition by sequence homology. This gene encodes a 39S subunit protein. [provided by RefSeq, Jul 2008]","1p32.3","611843","ENSG00000116221","RM37_HUMAN","51253","584908"
"MS4A15","","membrane spanning 4-domains A15","","11q12.2","","ENSG00000166961","B4DTI9_HUMAN","219995","207465"
"MS4A6A","CDA01; MS4A6; 4SPAN3; CD20L3; MST090; MSTP090; 4SPAN3.2","membrane spanning 4-domains A6A","This gene encodes a member of the membrane-spanning 4A gene family. Members of this nascent protein family are characterized by common structural features and similar intron/exon splice boundaries and display unique expression patterns among hematopoietic cells and nonlymphoid tissues. The gene encoding this protein is localized to 11q12.1, among a cluster of family members. Alternative splicing of this gene results in several transcript variants that encode different protein isoforms. [provided by RefSeq, Oct 2011]","11q12.2","606548","ENSG00000110077","A0A024R516_HUMAN","64231","523702"
"MSC-AS1","","MSC antisense RNA 1","","8q13.3-q21.11","","ENSG00000235531","","100132891","137674"
"MSH2","FCC1; COCA1; HNPCC; LCFS2; HNPCC1","mutS homolog 2","This locus is frequently mutated in hereditary nonpolyposis colon cancer (HNPCC). When cloned, it was discovered to be a human homolog of the E. coli mismatch repair gene mutS, consistent with the characteristic alterations in microsatellite sequences (RER+ phenotype) found in HNPCC. Two transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Apr 2012]","2p21-p16.3","609309","ENSG00000095002","MSH2_HUMAN","4436","597656"
"MSH3","DUP; FAP4; MRP1","mutS homolog 3","The protein encoded by this gene forms a heterodimer with MSH2 to form MutS beta, part of the post-replicative DNA mismatch repair system. MutS beta initiates mismatch repair by binding to a mismatch and then forming a complex with MutL alpha heterodimer. This gene contains a polymorphic 9 bp tandem repeat sequence in the first exon. The repeat is present 6 times in the reference genome sequence and 3-7 repeats have been reported. Defects in this gene are a cause of susceptibility to endometrial cancer. [provided by RefSeq, Mar 2011]","5q14.1","600887","ENSG00000113318","MSH3_HUMAN","4437","280987"
"MSH6","GTBP; HSAP; p160; GTMBP; HNPCC5","mutS homolog 6","This gene encodes a member of the DNA mismatch repair MutS family. In E. coli, the MutS protein helps in the recognition of mismatched nucleotides prior to their repair. A highly conserved region of approximately 150 aa, called the Walker-A adenine nucleotide binding motif, exists in MutS homologs. The encoded protein heterodimerizes with MSH2 to form a mismatch recognition complex that functions as a bidirectional molecular switch that exchanges ADP and ATP as DNA mismatches are bound and dissociated. Mutations in this gene may be associated with hereditary nonpolyposis colon cancer, colorectal cancer, and endometrial cancer. Transcripts variants encoding different isoforms have been described. [provided by RefSeq, Jul 2013]","2p16.3","600678","ENSG00000116062","MSH6_HUMAN","2956","445052"
"MSI2","MSI2H","musashi RNA binding protein 2","This gene encodes an RNA-binding protein that is a member of the Musashi protein family. The encoded protein is transcriptional regulator that targets genes involved in development and cell cycle regulation. Mutations in this gene are associated with poor prognosis in certain types of cancers. This gene has also been shown to be rearranged in certain cancer cells. [provided by RefSeq, Apr 2016]","17q22","607897","ENSG00000153944","B4DHE8_HUMAN","124540","658922"
"MSMO1","DESP4; ERG25; MCCPD; SC4MOL","methylsterol monooxygenase 1","Sterol-C4-mehtyl oxidase-like protein was isolated based on its similarity to the yeast ERG25 protein. It contains a set of putative metal binding motifs with similarity to that seen in a family of membrane desaturases-hydroxylases. The protein is localized to the endoplasmic reticulum membrane and is believed to function in cholesterol biosynthesis. Alternatively spliced transcript variants encoding distinct isoforms have been found for this gene. [provided by RefSeq, Jul 2008]","4q32.3","607545","ENSG00000052802","MSMO1_HUMAN","6307","105269"
"MSTN","GDF8; MSLHP","myostatin","This gene encodes a secreted ligand of the TGF-beta (transforming growth factor-beta) superfamily of proteins. Ligands of this family bind various TGF-beta receptors leading to recruitment and activation of SMAD family transcription factors that regulate gene expression. The encoded preproprotein is proteolytically processed to generate each subunit of the disulfide-linked homodimer. This protein negatively regulates skeletal muscle cell proliferation and differentiation. Mutations in this gene are associated with increased skeletal muscle mass in humans and other mammals. [provided by RefSeq, Jul 2016]","2q32.2","601788","ENSG00000138379","GDF8_HUMAN","2660","41565"
